user,entityId,entityType,eventType
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,435574,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,573775,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,573802,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,610764,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,627724,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,736351,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,599734,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,427507,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,653012,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,752072,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,752059,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,745017,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,721085,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,730950,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,463922,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,749881,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,756619,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,677778,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,744658,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,482937,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,583007,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,443392,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,463919,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,596227,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,757345,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,738329,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,758807,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,15389,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,661041,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,596206,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,716349,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,657877,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,677334,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,603453,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,751335,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,765672,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,543745,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,650607,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,664789,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,641627,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,441568,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,744967,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761934,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,678681,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,769187,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,755719,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761212,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,762959,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761342,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,763640,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,764108,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761644,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761798,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,725809,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,551530,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,103071,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,176420,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,705910,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,403937,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,452452,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,433326,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,762052,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,768346,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,484030,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,479529,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,406999,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,483315,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,437619,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,473931,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761833,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,750066,product,impression
pA06gIP5Krsn-zx-7QMzqjhxJsiwfDfq,628598,product,click
SmeDENLnRszsJWxXAGWKVE9skptAksE3,767015,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,71745,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,558558,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,558234,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,556356,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,556038,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,756575,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,555836,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,458856,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,601461,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,555666,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,554651,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,600670,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,599148,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,598642,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,597744,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,597006,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,596125,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,572581,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,595896,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,449149,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445724,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,580653,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445524,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445507,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445281,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445229,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445214,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,708450,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445183,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445095,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445091,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445084,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,445023,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,444967,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,444356,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,472580,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,438390,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,437062,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,435574,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,433953,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,402222,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,350902,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,348094,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,709735,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,708624,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,707747,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,707376,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,706905,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,660206,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,706814,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,724114,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,723133,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,722087,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,602198,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,721501,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,727643,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,726579,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,725672,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,735583,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,733096,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,532422,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,732826,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,739107,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,741734,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,654071,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,732498,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,711715,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,710415,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,524649,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,715234,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,509734,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,715208,product,impression
SmeDENLnRszsJWxXAGWKVE9skptAksE3,737228,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,729227,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,481693,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,498286,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,630894,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,763479,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,763466,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,338617,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,741188,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,566995,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,522300,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,697762,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,396303,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,601392,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,750064,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,521200,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,64503,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,517336,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,517331,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,734631,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,414228,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,579223,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,592155,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,396436,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,511401,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,425196,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,396659,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,575386,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,728520,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,642164,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,725960,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,567076,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,751058,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,614189,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,442725,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,596176,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,618847,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,462990,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,713670,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,592762,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,603988,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,518627,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,518510,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,595200,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,689419,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,364166,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,368666,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,71815,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,692329,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,747800,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,703786,product,impression
FO1_eaqAGMwMCJ5oPuGieljHt40whvOc,498036,product,impression
